Velocity_ms,Reynolds,Mach,Alpha_deg,CL,CD,L/D,Cpmin
16,400000.0,0.04664723032069971,-20.0,-0.36926728506450024,0.2005114477559707,-1.8416269454794978,-1.083549542033681
16,400000.0,0.04664723032069971,-19.595959595959595,-0.3430714925702017,0.19303191737201383,-1.7772785829455835,-1.0935206717689603
16,400000.0,0.04664723032069971,-19.19191919191919,-0.3203309317142794,0.186368547528005,-1.7188036069559662,-1.104905019095366
16,400000.0,0.04664723032069971,-18.78787878787879,-0.3002459728779171,0.18028439916601738,-1.6654018554397014,-1.1170165879188394
16,400000.0,0.04664723032069971,-18.383838383838384,-0.2817083179923166,0.1745583456929792,-1.6138347145417924,-1.1288920637431823
16,400000.0,0.04664723032069971,-17.97979797979798,-0.2634318587161159,0.1690010526677071,-1.5587586855691389,-1.1393688277313072
16,400000.0,0.04664723032069971,-17.575757575757574,-0.244169585786936,0.163472724825502,-1.49364113216791,-1.1472776929886999
16,400000.0,0.04664723032069971,-17.171717171717173,-0.2229799946907891,0.15789589396486603,-1.4121962838400672,-1.151734362739503
16,400000.0,0.04664723032069971,-16.767676767676768,-0.19944510705302398,0.1522536013749746,-1.3099532966831096,-1.152440650186977
16,400000.0,0.04664723032069971,-16.363636363636363,-0.1737368548287076,0.14657078016010633,-1.1853444092944478,-1.1498592261736664
16,400000.0,0.04664723032069971,-15.959595959595958,-0.14649918295595635,0.14088845389028196,-1.0398239097012434,-1.14517142367946
16,400000.0,0.04664723032069971,-15.555555555555555,-0.11861005623338348,0.13524365074645528,-0.8770101633513634,-1.1400737823390241
16,400000.0,0.04664723032069971,-15.151515151515152,-0.0909466979983647,0.129660013788502,-0.7014244048031227,-1.1366145915746195
16,400000.0,0.04664723032069971,-14.747474747474747,-0.06427145531746109,0.12414434170514435,-0.5177155433319099,-1.1372732238138057
16,400000.0,0.04664723032069971,-14.343434343434343,-0.039298286022427735,0.11868020521527561,-0.331127553673707,-1.145301184175058
16,400000.0,0.04664723032069971,-13.93939393939394,-0.01692864272703302,0.1132086570755738,-0.1495348780237902,-1.1650778339908059
16,400000.0,0.04664723032069971,-13.535353535353536,0.0014063931298688578,0.10757889125569106,0.013073132781468946,-1.2021144173764005
16,400000.0,0.04664723032069971,-13.131313131313131,0.013374205095583042,0.10144503665503202,0.13183695857947758,-1.2627356211241676
16,400000.0,0.04664723032069971,-12.727272727272727,0.015413002858950746,0.09415175105734398,0.16370383647525913,-1.354239328118061
16,400000.0,0.04664723032069971,-12.323232323232324,0.002848123728889018,0.08488092867813608,0.033554342220841506,-1.4854180874732168
16,400000.0,0.04664723032069971,-11.919191919191919,-0.02794087105270044,0.07340346673484122,-0.3806478398851727,-1.6627037271594767
16,400000.0,0.04664723032069971,-11.515151515151516,-0.07400802880400895,0.0608973693266573,-1.2152910646603674,-1.8777797676932884
16,400000.0,0.04664723032069971,-11.11111111111111,-0.12223081118555452,0.04941236765854458,-2.4736886123370754,-2.190062075748274
16,400000.0,0.04664723032069971,-10.707070707070708,-0.15603617095065478,0.04029400382952041,-3.8724414583079656,-2.474031692328905
16,400000.0,0.04664723032069971,-10.303030303030303,-0.1670907425672643,0.03359997235611072,-4.972942858296014,-2.6609646106050806
16,400000.0,0.04664723032069971,-9.8989898989899,-0.15799307623593078,0.028751827662461798,-5.495062021473005,-2.7530474059702073
16,400000.0,0.04664723032069971,-9.494949494949495,-0.13586339570109676,0.025201137275604524,-5.391161288289029,-2.7771651748996184
16,400000.0,0.04664723032069971,-9.090909090909092,-0.10648759942035303,0.0226067657615371,-4.710430520827965,-2.755904248399319
16,400000.0,0.04664723032069971,-8.686868686868687,-0.07295613152309426,0.02074571160334211,-3.5166849379773075,-2.700499215476551
16,400000.0,0.04664723032069971,-8.282828282828284,-0.03666690244620944,0.019423846471380936,-1.8877261257307811,-2.616878373299145
16,400000.0,0.04664723032069971,-7.878787878787879,0.0016615955697782633,0.018464269724212775,0.089989779969438,-2.510824218324244
16,400000.0,0.04664723032069971,-7.474747474747476,0.041553035971134064,0.017729113603388556,2.3437740261979063,-2.3885794070821715
16,400000.0,0.04664723032069971,-7.070707070707071,0.08264098476225545,0.01712871176412548,4.824705202602535,-2.2557447926828784
16,400000.0,0.04664723032069971,-6.666666666666666,0.12461615878922351,0.01661268261424646,7.501266453038537,-2.116681520307081
16,400000.0,0.04664723032069971,-6.262626262626263,0.16720718580589722,0.016155371183338575,10.349943923191441,-1.9745869958815876
16,400000.0,0.04664723032069971,-5.858585858585858,0.21018708100515165,0.015743981900248782,13.350312667841058,-1.8318083298728145
16,400000.0,0.04664723032069971,-5.454545454545455,0.25338228641534044,0.015371243736476843,16.484175956045103,-1.6901224818145013
16,400000.0,0.04664723032069971,-5.05050505050505,0.2966685735983251,0.015031713489797415,19.736178034505855,-1.5509108544314294
16,400000.0,0.04664723032069971,-4.646464646464647,0.33995694159801704,0.014720346796247416,23.09435683163936,-1.4152418337663497
16,400000.0,0.04664723032069971,-4.242424242424242,0.3831791705973779,0.014432400851649894,26.549925721718942,-1.2838789659519654
16,400000.0,0.04664723032069971,-3.8383838383838373,0.42627857210460385,0.014164432313203907,30.094998703706064,-1.15720704456811
16,400000.0,0.04664723032069971,-3.434343434343436,0.46920889259017173,0.013916402774210452,33.71624838709746,-1.0676703651928356
16,400000.0,0.04664723032069971,-3.030303030303031,0.5119489498183483,0.013694015474935074,37.38486718927675,-1.1097338817857128
16,400000.0,0.04664723032069971,-2.6262626262626263,0.5545452547987392,0.013508896332123196,41.05037459500447,-1.1529028172222595
16,400000.0,0.04664723032069971,-2.2222222222222214,0.5971743492429282,0.013374757695269298,44.64935835466769,-1.1966508322518927
16,400000.0,0.04664723032069971,-1.8181818181818201,0.6401165637908918,0.013301509622761894,48.12360265450678,-1.2410141116341513
16,400000.0,0.04664723032069971,-1.4141414141414153,0.6832352805053721,0.013288515756566643,51.41546979524369,-1.2860569840289842
16,400000.0,0.04664723032069971,-1.0101010101010104,0.724234025669297,0.013287604526570256,54.50448380075572,-1.3308759244109456
16,400000.0,0.04664723032069971,-0.6060606060606055,0.759973025240455,0.012973705578480047,58.577946034250196,-1.374105076141495
16,400000.0,0.04664723032069971,-0.20202020202020066,0.8087479544737539,0.011995805559489153,67.4192283680359,-1.4279731778101756
16,400000.0,0.04664723032069971,0.20202020202020066,0.883311380159695,0.011594047260235872,76.18662925320218,-1.5019161089133446
16,400000.0,0.04664723032069971,0.6060606060606055,0.9511220266616046,0.011714161837544342,81.19420235541067,-1.5749706861938335
16,400000.0,0.04664723032069971,1.0101010101010104,1.0014657733532024,0.011880945965305183,84.29175389549698,-1.6373798284462413
16,400000.0,0.04664723032069971,1.4141414141414153,1.0392306027775502,0.01200942243383889,86.53460301715387,-1.6918101651142128
16,400000.0,0.04664723032069971,1.8181818181818166,1.0701189383558265,0.012133034215119987,88.19879012805073,-1.742426803337021
16,400000.0,0.04664723032069971,2.2222222222222214,1.098212954242645,0.012277147008481534,89.45180451809827,-1.7922960990458607
16,400000.0,0.04664723032069971,2.6262626262626263,1.1256519600494008,0.012448826252482675,90.42233679057988,-1.8429038323631157
16,400000.0,0.04664723032069971,3.030303030303031,1.1531692333649484,0.012649010925317157,91.1667513115089,-1.8945739540185358
16,400000.0,0.04664723032069971,3.4343434343434325,1.1807646160982648,0.01288006812263141,91.67378657132704,-1.9470741724903309
16,400000.0,0.04664723032069971,3.8383838383838373,1.2081519872202757,0.013148388058702443,91.88593931258696,-2.0000634630791354
16,400000.0,0.04664723032069971,4.242424242424242,1.2349948890948075,0.01346401273490886,91.72561801674256,-2.053377879363812
16,400000.0,0.04664723032069971,4.646464646464647,1.2610175156554453,0.013838587190240574,91.12328435844637,-2.1071698456835897
16,400000.0,0.04664723032069971,5.050505050505048,1.286045233639639,0.014283154764620833,90.03929837861551,-2.1617462606003826
16,400000.0,0.04664723032069971,5.454545454545453,1.310001315705952,0.01480725052287234,88.4702608146212,-2.217085459923883
16,400000.0,0.04664723032069971,5.858585858585858,1.3328791333184085,0.015419598235744722,86.44058768201974,-2.272661188885778
16,400000.0,0.04664723032069971,6.262626262626263,1.354708024443369,0.016129412813604097,83.98991582016934,-2.327834882738907
16,400000.0,0.04664723032069971,6.666666666666668,1.3755263454444493,0.016947066676828427,81.16604316693899,-2.3821700015679244
16,400000.0,0.04664723032069971,7.070707070707069,1.3953673068598016,0.017883645039451616,78.02477088879802,-2.4354625982445475
16,400000.0,0.04664723032069971,7.474747474747474,1.4142566485189176,0.018949781259396756,74.63181918353915,-2.487756996825601
16,400000.0,0.04664723032069971,7.878787878787879,1.4322181027834446,0.020154573416193283,71.0616927090465,-2.539551898578404
16,400000.0,0.04664723032069971,8.282828282828284,1.449281872036018,0.021505233559993956,67.39205449654393,-2.592159556823081
16,400000.0,0.04664723032069971,8.686868686868685,1.4654911201188117,0.02300740227195949,63.696505272344204,-2.6471489466667126
16,400000.0,0.04664723032069971,9.09090909090909,1.480901404071375,0.024665385218667006,60.03966250446453,-2.704292100926705
16,400000.0,0.04664723032069971,9.494949494949495,1.4955699199740036,0.026482085311510035,56.47477917171337,-2.761859144855549
16,400000.0,0.04664723032069971,9.8989898989899,1.5095360525113,0.02845950922370523,53.04153492759244,-2.818466799391312
16,400000.0,0.04664723032069971,10.303030303030301,1.5227984029827275,0.030600360696751015,49.76406709952312,-2.8733996389281002
16,400000.0,0.04664723032069971,10.707070707070706,1.53529306117946,0.032909998929264626,46.65126439169307,-2.927594680701161
16,400000.0,0.04664723032069971,11.11111111111111,1.546875544398771,0.03539803769461173,43.69947164145304,-2.9881032576417987
16,400000.0,0.04664723032069971,11.515151515151516,1.5573078872262853,0.03807973039537432,40.895979857448175,-3.0553195156229744
16,400000.0,0.04664723032069971,11.919191919191917,1.566252679504608,0.04097766351679804,38.222107975056986,-3.1199538865079126
16,400000.0,0.04664723032069971,12.323232323232325,1.5732756505837457,0.044124046357609775,35.65574285352036,-3.1787747023983353
16,400000.0,0.04664723032069971,12.727272727272727,1.577857072990362,0.04756362352123207,33.17360949772924,-3.230602636995411
16,400000.0,0.04664723032069971,13.131313131313128,1.579410404156459,0.05135725437767549,30.753404232665005,-3.283004274107575
16,400000.0,0.04664723032069971,13.535353535353536,1.577305335297917,0.0555863558656388,28.375764353225794,-3.350837844397594
16,400000.0,0.04664723032069971,13.939393939393938,1.5708930032438746,0.06035839974144607,26.026087669206305,-3.4106053134823173
16,400000.0,0.04664723032069971,14.343434343434346,1.5595340816619072,0.06581333080407943,23.696325085027297,-3.454849930399773
16,400000.0,0.04664723032069971,14.747474747474747,1.5426348204526403,0.07213015847556328,21.386821449661227,-3.4796066269255297
16,400000.0,0.04664723032069971,15.151515151515149,1.519699376358107,0.07953217593413897,19.10798187662536,-3.4809286206665226
16,400000.0,0.04664723032069971,15.555555555555557,1.4904060396579548,0.08828830997641207,16.88112548599181,-3.4551698028494915
16,400000.0,0.04664723032069971,15.959595959595958,1.4547081173783403,0.09870698554454696,14.737641002336387,-3.399455307090939
16,400000.0,0.04664723032069971,16.36363636363636,1.4129471334382993,0.11111785657118399,12.715752238553497,-3.312243189703957
16,400000.0,0.04664723032069971,16.767676767676768,1.365949613754003,0.12583677418471453,10.854931895734543,-3.1938895434293078
16,400000.0,0.04664723032069971,17.17171717171717,1.3150662019049546,0.14311217968001086,9.189058575205504,-3.0470695958926792
16,400000.0,0.04664723032069971,17.575757575757578,1.262113525081799,0.16305827245123644,7.740260620381843,-2.8768772006398087
16,400000.0,0.04664723032069971,17.97979797979798,1.209202759333965,0.18559090002924736,6.515420525162635,-2.6904687646175045
16,400000.0,0.04664723032069971,18.38383838383838,1.1584801499846575,0.21039070374974608,5.506327652968154,-2.496250309978137
16,400000.0,0.04664723032069971,18.78787878787879,1.1118444256064972,0.23691626742655716,4.692984731203244,-2.3027805530147
16,400000.0,0.04664723032069971,19.19191919191919,1.070719787793643,0.26447361739622693,4.048493752741774,-2.1176825399761205
16,400000.0,0.04664723032069971,19.5959595959596,1.0359408912413723,0.2923242235385775,3.543807894882379,-1.9468463652714487
16,400000.0,0.04664723032069971,20.0,1.0077614682218392,0.3197967537489468,3.151256091276562,-1.794074561882959
